url,label,LEN,SPECIAL_CHARACTER_COUNT,HAVING_IP_ADDR,HAS_AT,SHORTENING_USED,HTTPS_TOKEN
188.127.249.203/data/info.php,bad,29,6,1,0,0,0
databasefootball.com/boxscores/scheduleyear.htm?lg=nfl&yr=1972,good,62,8,0,0,0,0
kuow.org/program.php?id=9510,good,28,5,0,0,0,0
en.goldenmap.com/Ion_Croitoru,good,29,3,0,0,0,0
docstoc.com/docs/36762332/FORTIN-BYPASS-KITS,good,44,6,0,0,0,0
lessonresearch.net/,good,19,2,0,0,0,0
checkyourelectricitybill.co.za/BOA/home/login.php?cmd=login_submit&amp;id=7eff7d6a6517ca7c119ac499ab0623227eff7d6a6517ca7c119ac499ab062322&amp;session=7eff7d6a6517ca7c119ac499ab0623227eff7d6a6517ca7c119ac499ab062322,bad,215,14,0,0,0,0
brendanrex.com/wp-admin/includes/boxMrenewal.php,bad,48,6,0,0,1,0
royalvic.com/about_us/contact.html,good,34,4,0,0,0,0
67.222.197.54/ase5.png,bad,22,5,1,0,0,0
fonoteca.cm-lisboa.pt/cgi-bin/pesquisa.pl?cp1=AUT&trm1=Johnny+Alf&tipo=*&cp2=TIT&trm2=&bd=CDBIB&area=all&lg=1,good,109,25,0,0,0,0
gjnashen.wordpress.com/category/jewish-general-hospital/,good,56,7,0,0,0,0
spoke.com/info/p6taCde/JessicaSirois,good,36,4,0,0,0,0
tvtropes.org/pmwiki/pmwiki.php/Main/QuantumLeap,good,47,6,0,0,0,0
vanzandt.blademakers.com/,good,25,3,0,0,0,0
shta.org/Trail/TrailMaps/s067.php,good,33,5,0,0,0,0
ligotti.net/showthread.php?t=3887,good,33,5,0,0,0,0
en.wikipedia.org/wiki/Milton_Schwartz,good,37,4,0,0,0,0
watchwweonline.org/watch-wwe-elimination-chamber-2011-online-for-free,good,69,9,0,0,0,0
yantasy.com/?q=lisa%20ann%20ass%20ripped%20up%20by%20lex%20steele,good,65,11,0,0,0,0
facebook.com/pages/Nichols-Supermarket-Discount-Liquors/100655924025?v=wall,good,75,9,0,0,0,0
khiptv.com/world.aspx,good,21,3,0,0,0,0
pinalcountyaz.gov/Departments/HumanResources/Pages/Home.aspx,good,60,6,0,0,0,0
famoushookups.com/site/celebrity_profile.php?name=Shawn-Batten&celebid=18092,good,76,9,0,0,0,0
41.38.18.230:443,bad,16,4,0,0,0,0
ebay.com/itm/BAVARIAN-CHINA-GERMANY-GOLDEN-CROWN-E-R-FRUIT-PLATE-/130483239744,good,78,13,0,0,0,0
usniff.com/top/ruby-spears+superman,good,35,5,0,0,0,0
palzoo.net/TomHanks,good,19,2,0,0,0,0
uk.linkedin.com/in/rjstockwell,good,30,4,0,0,0,0
residentadvisor.net/dj/akufen,good,29,3,0,0,0,0
www.hotelmoonnightnikola.free.bg/k499xf,bad,39,4,0,0,0,0
manta.com/c/mtxpwk0/regal-american-mall-stadium-12,good,50,8,0,0,0,0
aasteel.com/plates.html,good,23,3,0,0,0,0
iac.lockton-ins.com/,good,20,4,0,0,0,0
youtube.com/watch?v=T10zie5dsxU,good,31,4,0,0,0,0
simobil.net/en/network.cp2?cid=66211394-8DA3-61A4-D677-94809A67F511&linkid=network,good,82,12,0,0,0,0
23mag.com/mags/ba/ba80.htm,good,26,5,0,0,0,0
kaushik.net/avinash/excellent-analytics-tip-9-leverage-statistical-control-limits/,good,82,11,0,0,0,0
riverfronttimes.com/related/to/Jack+Turcotte/,good,45,6,0,0,0,0
zawya.com/cm/profile.cfm/cid1002125,good,35,5,0,0,0,0
mxp2096.com,bad,11,1,0,0,0,0
visitczechrepublic.blogspot.com/,good,32,3,0,0,1,0
stlouiscountymn.gov/,good,20,2,0,0,0,0
bleacherreport.com/articles/436801-oakland-raiders-seven-predictions-for-2010,good,77,9,0,0,1,0
reunion.com/qc/montreal/,good,24,4,0,0,0,0
lockerpulse.com/MLB/Reds/,good,25,4,0,0,0,0
youtube.com/watch?v=6wkel52NmxY,good,31,4,0,0,0,0
pbase.com/rodg/native_plants,good,28,3,0,0,0,0
cndoubleegret.com/admin/secure/cmd-login=c7060c871fcdb4d12ea8f18374f4b441/,bad,74,7,0,0,1,0
dir.yahoo.com/Regional/U_S__States/Ohio/Cities/,good,47,7,0,0,0,0
slantmagazine.com/film/review/its-kind-of-a-funny-story/5070,good,60,10,0,0,0,0
answers.yahoo.com/question/index?qid=20090428093026AAXGCf8,good,58,6,0,0,0,0
tcm.com/mediaroom/video/219271/Them-Movie-Clip-Formic-Acid.html,good,63,10,0,0,0,0
utcourts.gov/courts/dist/distsites/3rd/slc.html,good,47,7,0,0,0,0
himam.site/malisticlover/admin.php,bad,34,4,0,0,0,0
docstoc.com/docs/5444253/PROGRAM-Deh-vieni-non-tardar-Wolfgang-Amadeus-Mozart-Aria,good,82,12,0,0,0,0
facebook.com/Tulayan,good,20,2,0,0,0,0
en.wikipedia.org/wiki/Joint_venture_broker,good,42,4,0,0,0,0
thefashionmermaid.com/PDFCopy/instructions/up/,bad,46,5,0,0,0,0
movies.yahoo.com/movie/contributor/1800013272,good,45,5,0,0,0,0
facebook.com/NDBison?v=app_48008362724,good,38,4,0,0,0,0
en.wikipedia.org/wiki/Neal_Street,good,33,4,0,0,0,0
gettaiwan.com/real-estate/,good,26,4,0,0,0,0
celebrityphotos.sheknows.com/celebrity-couples/john-travolta-snuggles-with-baby-benjamin-in-paris/,good,98,13,0,0,0,0
tinzell.com/busines/,bad,20,3,0,0,0,0
en.wikipedia.org/wiki/Sidney_poitier,good,36,4,0,0,0,0
basickrecords.bigcartel.com/artist/ion-dissonance,good,49,5,0,0,0,0
dintrespatan.ru/gate.php,bad,24,3,0,0,0,0
locksmithburbank.com/,good,21,2,0,0,0,0
consumerguideauto.howstuffworks.com/1995-to-1998-porsche-911-6.htm,good,66,9,0,0,0,0
linkedin.com/in/jasonrhoades,good,28,3,0,0,0,0
rotoworld.com/player/nba/1117/player?r=1,good,40,7,0,0,0,0
eveningtribune.com/obituaries/x463303054/PAUL-EDWARD-TYLER-SR,good,61,7,0,0,0,0
a-league.com/game_reports/2005/toronto_lynch_07162005.shtml,good,59,6,0,0,0,0
phauthuatngucuytin.com/libraries/ourtime/,bad,41,4,0,0,0,0
blogs4victory.wordpress.com/about/matt-margolis/,good,48,6,0,0,0,0
nationalterroralert.com/2008/11/12/50000-reward-for-info-on-john-amos-power-plant-bomb-threats/,good,95,16,0,0,1,0
videosurf.com/jean-robic-133057,good,31,4,0,0,0,0
picmovs.blogspot.com/2010/12/ce-quil-faut-pour-vivre-necessities-of.html,good,72,12,0,0,1,0
zimbio.com/Tamil+Movies/articles/nW9kwHcfs3Y/Sarah+Jane+Dias+Hot+Pictures+Sarah+Jane+Dias,good,89,13,0,0,0,0
quiz.thefullwiki.org/2010_films,good,31,3,0,0,0,0
en.wikipedia.org/wiki/Richmond%E2%80%93Millbrae_line,good,52,7,0,0,0,0
ibrc.indiana.edu/ibr/2009/outlook/fortwayne.html,good,48,7,0,0,0,0
beauty-plus.co.uk/cli/https:/atendimento/chamada.php?=WXZLGE89MWDMY22ER702NOKS95UHGTTCQTY787FU3TG1VIEMPONCC96LC13TTV7JP5QWB7QD18EVQSHFG6STEXEQXHKQDQA3V2Y78OK8VY3MRK29PT34RHUPYEFB6QD1RC8Y2R7XQ9JHSKPIERM69GU8VAI21W3S00QA2X8R6R0YBZGPR3V1JP8F1QG2NI,bad,244,11,0,0,0,0
vitals.com/ratings/Dr_Lisa_Shockley.html,good,40,4,0,0,0,0
wn.com/John_Montefusco,good,22,2,0,0,0,0
docstoc.com/docs/81632703/CONVENTIONAL-TV-STATIONS,good,50,6,0,0,0,0
slideshare.net/pichungino/profil-de-march-et-opportunits-daffaires-avec-la-floride,good,82,11,0,0,0,0
fandango.com/denverpyle/filmography/p58123,good,42,4,0,0,0,0
rightcelebrity.com/?p=382,good,25,4,0,0,0,0
inkisoro.com/Finance/filewords/index.php,bad,40,5,0,0,0,0
forums.watchuseek.com/f11/lucien-piccard-vintage-watch-14k-gold-question-447770.html,good,84,12,0,0,0,0
movies.nytimes.com/movie/237109/The-Caveman-s-Valentine/overview,good,64,9,0,0,0,0
mainlinecarriers.co.tz/nbv364,bad,29,3,0,0,0,0
linkedin.com/pub/dir/tim/fleischer,good,34,5,0,0,0,0
singer22.com/joie.html,good,22,3,0,0,0,0
articles.sfgate.com/2006-08-30/business/17308300_1_craigslist-bofa-bogus-check,good,78,10,0,0,0,0
bawdylanguage.com/,good,18,2,0,0,0,0
imdb.com/name/nm0001319/,good,24,4,0,0,0,0
wgcyradio.com/blog/wp-admin/includes/gd/,bad,40,7,0,0,0,0
en.wikipedia.org/wiki/Category:Iowa_Hawkeyes_football_coaches,good,61,5,0,0,0,0
thefreelibrary.com/George+Perkins+Marsh%3a+Prophet+of+Conservation.-a078399941,good,78,10,0,0,0,0
chihuahuaexpress.net/,good,21,2,0,0,0,0
tabloidpulsa.co.id,bad,18,2,0,0,0,0
yasni.com/jaclyn+munoz/check+people,good,35,5,0,0,0,0
en.wikipedia.org/wiki/Campeau,good,29,4,0,0,0,0
west-long-branch-nj-limousine.com/,good,34,6,0,0,0,0
canadaknives.com/,good,17,2,0,0,0,0
paris-live.com/,good,15,3,0,0,0,0
www.filix.it/8t76v45,bad,20,3,0,0,0,0
spoke.com/info/p6meg5M/WilliamDimma,good,35,4,0,0,0,0
brautigan.net/pill.html,good,23,3,0,0,0,0
trueknowledge.com/q/facts_about__battle_of_jumonville_glen,good,58,3,0,0,0,0
firstcopYmall.com/system/logs/87h754,bad,36,4,0,0,0,0
arenafan.com/news/?page=pressrel&article=10213,good,46,7,0,0,0,0
a1match.dk/spcmi8qp,bad,19,2,0,0,0,0
deutsches-panzer-kommando.de/acp/js/sw/,bad,39,7,0,0,0,0
acronymattic.com/ULF.html,good,25,3,0,0,0,0
pipl.com/directory/name/roderbourg,good,34,4,0,0,0,0
rateyourbarn.com/browse.php?sort=city,good,37,5,0,0,0,0
aqovd.com/?oem=sunadmxv3&amp;uid=W2A5LMPL_ST3320413AS&amp;tm=1468534955,bad,71,10,0,0,0,0
archive.org/stream/rosepolytechnici00terr,good,41,3,0,0,0,0
drugvacoa.net/6n00x,bad,19,2,0,0,0,0
pro-football-reference.com/teams/clt/2007.htm,good,45,7,0,0,0,0
museedeshospitalieres.qc.ca/english.html,good,40,4,0,0,0,0
absoluteastronomy.com/topics/People's_Republic_of_China,good,55,4,0,0,0,0
wsn.com/football/national-teams/honduras/,good,41,6,0,0,0,0
amazon.co.uk/Epic-Gilgamesh-Classics-Penguin/dp/014044100X,good,58,8,0,0,0,0
xbox.ign.com/objects/566/566353.html,good,36,6,0,0,0,0
kdxtau.webs.com/chapters.htm,good,28,4,0,0,0,0
archive.org/details/cihm_36428,good,30,3,0,0,0,0
agoracom.com/ir/Nanotech/management,good,35,4,0,0,0,0
notfortourists.com/LD.aspx/New-Orleans/Landmarks/Statue-of-Jean-Baptiste-Le-Moyne-de-Bienville,good,94,14,0,0,0,0
thefind.com/merchandise/info-mike-piazza-baseball-cards,good,55,7,0,0,0,0
newlifevitamins.com/,good,20,2,0,0,0,0
bjcurio.com/js/index.htm,bad,24,4,0,0,0,0
gramercygreen1707.blogspot.com/,good,31,3,0,0,1,0
answers.com/topic/blindness-film-1,good,34,5,0,0,0,0
en.wikipedia.org/wiki/Kathy_Baker,good,33,4,0,0,0,0
tower.com/war-1812-scott-marquette-paperback/wapi/107263725,good,59,8,0,0,0,0
wiki.answers.com/Q/How_many_senators_does_the_California_State_Senate_have,good,74,4,0,0,0,0
chihuahuainvita.com/CL/wp-admin/css/cm2.eim.php,bad,47,8,0,0,0,0
karejones.com/Doc/source,bad,24,3,0,0,0,0
filmmakersbg.org/president-eng.htm,good,34,4,0,0,0,0
ultimate-guitar.com/bands/m4.htm,good,32,5,0,0,0,0
big12sports.com/ViewArticle.dbml?DB_OEM_ID=10410&ATCLID=205330099,good,65,7,0,0,0,0
cqod.com/cqodndan.htm,good,21,3,0,0,0,0
goodreads.com/author/show/2454.Anthony_Boucher,good,46,5,0,0,0,0
hockey-reference.com/players/c/,good,31,5,0,0,0,0
answers.yahoo.com/question/index?qid=20070108144317AA5Bli9,good,58,6,0,0,0,0
ibottle.com/db/dropbox2016/Home/index.php,bad,41,6,0,0,0,0
leksvik.historielag.org/num/887hb56f,bad,36,4,0,0,0,0
wn.com/Tango_(1933_film),good,24,4,0,0,0,0
123people.com/b/keith+feder,good,27,4,0,0,0,0
biz.yahoo.com/ic/56/56367.html,good,30,6,0,0,0,0
become.com/elie-tahari-sweater,good,30,4,0,0,0,0
names.whitepages.com/last/niccoli,good,33,4,0,0,0,0
starcourier.com/sports/high_school/x1512113824/SC-s-Turner-heads-All-LTC-basketball-team,good,88,12,0,0,0,0
onlineseats.com/venue/view-trustmark-park-events.htm,good,52,7,0,0,0,0
dailymail.co.uk/tvshowbiz/article-1388569/Keira-Knightley-Steve-Carell-shoot-scenes-Seeking-A-Friend-End-World.html,good,115,17,0,0,0,0
music.yahoo.com/terry-wogan/,good,28,5,0,0,0,0
barendtreesverwaal.tripod.com/short/storiesginovannelli.html,good,60,5,0,0,0,0
eventful.com/performers/ted-nugent-/P0-001-000017877-1,good,54,9,0,0,0,0
mediodetransporte.com/plugins/user/joomla/slim/yaha/cc/mm.iiiii.htm?rand=13inboxlightaspxn.1774256418,bad,101,13,0,0,0,0
linkedin.com/directory/people/cloutier-5.html,good,45,6,0,0,0,0
espn.go.com/nfl/team/schedule/_/name/buf/buffalo-bills,good,54,10,0,0,0,0
whosdatedwho.com/sections/celebrities/first-name/Holly,good,54,6,0,0,0,0
insider.espn.go.com/nhl/story/_/id/6890915/nhl-new-jersey-devils-projections-2011-12-season,good,91,16,0,0,0,0
online-movie-viewer.com/movie/vanity_fair_2004,good,46,5,0,0,0,0
sportsoverdose.com/nba-players/drew-gooden,good,42,5,0,0,0,0
173.236.44.34/~conticab/momo/public_html/index.php,bad,50,9,1,0,0,0
allminnesota.com/webpages/mn-stateparks.shtml,good,45,5,0,0,0,0
imdb.com/title/tt1846155/,good,25,4,0,0,0,0
events.kctv5.com/,good,17,3,0,0,0,0
machine-information-systems.com/,good,32,4,0,0,0,0
faqs.org/copyright/[tom-bosley-interviews-larkin-arnold-senior-vice-president/,good,78,12,0,0,0,0
jamaicaobserver.com/entertainment/VP-Records-pays-homage-to-Joel-Chin_9467726,good,77,9,0,0,0,0
ikarma.com/biz/Minnesota/Battle+Lake/,good,37,6,0,0,0,0
skillwho.com/lists/T/T0/227902/,good,31,6,0,0,0,0
youtube.com/watch?v=LBXy6z9R-Vk,good,31,5,0,0,0,0
williamhenrysanders.familytreeguide.com/register.php?personID=I1&tree=T1,good,72,8,0,0,0,0
canoe.ca/SlamWrestlingBios/leducs.html,good,38,4,0,0,0,0
fuckyeahwilwheaton.tumblr.com/,good,30,3,0,0,0,0
jaaeza.com/drIbrahim/Document-Shared537/doc/,bad,44,6,0,0,0,0
takeaphoto.loan/rss/feed/stream,bad,31,4,0,0,0,0
facebook.com/people/Sherri-Daugherty-Partlow/1414496840,good,55,6,0,0,0,0
texassports.com/sports/m-baskbl/spec-rel/tex-m-baskbl-spec-rel.html,good,67,12,0,0,0,0
everlybrothers.net/news.html,good,28,3,0,0,0,0
en.wikipedia.org/wiki/Yves_Herbet,good,33,4,0,0,0,0
youtube.com/watch?v=Y11ly_Pybbk,good,31,4,0,0,0,0
safeitbd.com/uploaded/updateyahoo/yahoo.htm,bad,43,5,0,0,0,0
jetzentertainment.com/2010/09/watch-hawaii-five-0-season-1-episode-1-pilot-online/,good,82,14,0,0,1,0
altfg.com/blog/awards/david-di-donatello-2006/,good,46,8,0,0,0,0
skyvector.com/,good,14,2,0,0,0,0
steveparkin.com.au/,good,19,3,0,0,0,0
manta.com/c/mmj2xvr/bret-harte-middle-school,good,44,7,0,0,0,0
enc.tfode.com/Esipram,good,21,3,0,0,0,0
opentable.com/casa-di-napoli-showboat-atlantic-city,good,51,7,0,0,0,0
canadaonline.about.com/od/trudeau/Pierre_Trudeau.htm,good,52,6,0,0,1,0
